item_id,translator,precomposed_n,seg_mismatch,n_seg_src,n_seg_hyp,len_ratio,consensus_chrf,bengali_frac,assamese_n,devanagari_n,double_virama_n,other_script_n,other_script_chars,bn_option_labels_n,latin_word_n,latin_words,gloss_n,num_src,num_missing,num_hard_n,num_soft_n,num_missing_list,num_recall,dup_option_n,roundtrip_chrf,len_z,cometkiwi_mean,cometkiwi_min,metricx_mean,metricx_min,metricx_err_mean,metricx_err_max,labse_mean,labse_min,n_seg_scored,option_swap_n,option_swaps,decision,decision_reason
US-00316,gpt-oss:120b,0,0,9,9,0.94257064721969,,0.9835728952772074,0,0,0,0,,0,0,,0,18,0,0,0,,1.0,0,66.35113033841462,-1.1048559810461014,0.7942936619122823,0.535791277885437,-2.2126956780751548,-6.670694351196289,2.2126956780751548,6.670694351196289,0.7634795308113098,0.4899869561195373,9,0,,PASS,
US-00317,gpt-oss:120b,0,0,8,8,0.965195246179966,,0.987410071942446,0,0,0,0,,0,0,,0,13,0,0,0,,1.0,0,72.46570121422381,-0.6534792740781626,0.7809563353657722,0.6986679434776306,-2.1097983457148075,-6.24485969543457,2.1097983457148075,6.24485969543457,0.7058203816413879,0.4414714574813843,8,0,,PASS,
US-00318,gpt-oss:120b,0,0,6,6,1.149331352154532,,0.993368700265252,0,0,0,0,,0,0,,0,23,0,0,0,,1.0,0,79.15927862353114,3.02016591603686,0.8161401251951853,0.6116192936897278,-1.3777705679337184,-4.211533546447754,1.3777705679337184,4.211533546447754,0.7635911305745443,0.6351161003112793,6,1,C->D,FLAG,hard:option_swap_n
US-00319,gpt-oss:120b,0,0,6,6,1.0380952380952382,,0.9923896499238964,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,75.74919582670357,0.800926982867204,0.8021693229675293,0.7663637399673462,-2.368823528289795,-4.1717448234558105,2.368823528289795,4.1717448234558105,0.7924955785274506,0.6402912139892578,6,0,,PASS,
US-00320,gpt-oss:120b,1,0,8,8,1.020816653322658,,0.988817891373802,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,72.08598745864225,0.4562070296248399,0.7241403833031654,0.6444035172462463,-2.601608544588089,-5.982837677001953,2.601608544588089,5.982837677001953,0.7609997615218163,0.6537772417068481,8,0,,PASS,
US-00321,gpt-oss:120b,0,0,7,7,1.0938833570412518,,0.9865410497981156,0,0,0,0,,0,1,FeNa,0,19,0,0,0,,1.0,0,69.04639619304488,1.913939304632585,0.794157360281263,0.6257763504981995,-1.594180443457195,-6.916928291320801,1.594180443457195,6.916928291320801,0.7910311222076416,0.7398165464401245,7,0,,FLAG,hard:latin_word_n
US-00322,gpt-oss:120b,0,0,6,6,1.014207650273224,,0.9890829694323144,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,73.66061014671075,0.324352757289121,0.8186855216821035,0.6924850344657898,-1.9333244264125824,-4.955266952514648,1.9333244264125824,4.955266952514648,0.8563392758369446,0.7770124673843384,6,0,,PASS,
US-00323,gpt-oss:120b,0,0,9,9,0.9944903581267218,,0.9851024208566108,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,78.14147976617033,-0.0690211281459039,0.8417546881569756,0.736028254032135,-2.0321858856413098,-3.208322525024414,2.0321858856413098,3.208322525024414,0.6814433071348402,0.5371317267417908,9,1,D->G,FLAG,hard:option_swap_n
US-00324,gpt-oss:120b,0,0,7,7,1.048780487804878,,0.9869281045751634,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,76.59391906004254,1.0141052511554374,0.8628803661891392,0.7735123038291931,-1.5969465380268435,-3.990965843200684,1.5969465380268435,3.990965843200684,0.8517687320709229,0.7230026721954346,7,0,,PASS,
US-00325,gpt-oss:120b,1,0,8,8,1.052549019607843,,0.9889415481832544,0,0,0,0,,0,0,,0,22,0,0,0,,1.0,0,70.37628968592344,1.0892901186668102,0.7193013057112694,0.5614058971405029,-1.7887402698397636,-3.777374744415283,1.7887402698397636,3.777374744415283,0.7238070033490658,0.3992486894130707,8,0,,PASS,
US-00326,gpt-oss:120b,0,0,6,6,1.0501497005988023,,0.9911242603550297,0,0,0,0,,0,1,S4,0,17,0,0,0,,1.0,0,77.00236008400302,1.0414220121351576,0.8089910844961802,0.6365979909896851,-2.2493629629413285,-6.057878494262695,2.2493629629413285,6.057878494262695,0.6647549470265707,0.4605157971382141,6,0,,FLAG,hard:latin_word_n
US-00327,gpt-oss:120b,0,0,6,6,0.9345794392523364,,0.9886363636363636,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,76.6929389240955,-1.2642862163989252,0.777123898267746,0.6284976601600647,-1.8434097617864609,-4.388937950134277,1.8434097617864609,4.388937950134277,0.8025187055269877,0.7289464473724365,6,0,,PASS,
US-00328,gpt-oss:120b,0,0,10,10,0.8571428571428571,,0.9777777777777776,0,0,0,0,,0,0,,0,2,0,0,0,,1.0,0,60.36003233550763,-2.8092006474922457,0.7800265312194824,0.6572849750518799,-1.373151721060276,-4.097481727600098,1.373151721060276,4.097481727600098,0.6918930977582931,0.3847715556621551,10,1,D->B,FLAG,hard:option_swap_n
US-00329,gpt-oss:120b,0,0,9,9,0.9564202334630352,,0.9866220735785952,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,67.55033652796698,-0.8285469670226641,0.8260519040955437,0.7093727588653564,-1.4554511159658432,-6.911367893218994,1.4554511159658432,6.911367893218994,0.7968151370684305,0.6210525035858154,9,0,,PASS,
US-00330,gpt-oss:120b,1,0,8,8,0.9130434782608696,,0.9822784810126582,0,0,0,0,,0,0,,0,1,0,0,0,,1.0,0,73.46924827488441,-1.6939438280448194,0.8232523575425148,0.7237628698348999,-1.2713769227266312,-2.4563632011413574,1.2713769227266312,2.4563632011413574,0.8339476510882378,0.6835675835609436,8,0,,PASS,
US-00331,gpt-oss:120b,0,0,8,8,1.0362116991643453,,0.9871794871794872,0,0,0,0,,0,0,,0,13,0,0,0,,1.0,0,73.68197791357683,0.7633490526875314,0.8312017917633057,0.716846764087677,-1.116379433311522,-5.506026268005371,1.116379433311522,5.506026268005371,0.7415336892008781,0.6395261287689209,8,1,B->C,FLAG,hard:option_swap_n
US-00332,gpt-oss:120b,0,0,9,9,1.017580144777663,,0.9838056680161944,0,0,0,0,,0,0,,0,3,0,0,0,,1.0,0,81.33533636289135,0.3916364013596248,0.8578549755944146,0.8124598264694214,-1.0386005623473062,-3.923912525177002,1.0386005623473062,3.923912525177002,0.7989249494340684,0.6762494444847107,9,1,H->D,FLAG,hard:option_swap_n
US-00333,gpt-oss:120b,0,0,8,8,1.0676056338028168,,0.9817518248175182,0,0,0,0,,0,1,min,0,14,0,0,0,,1.0,0,74.15508642292669,1.3896801916730406,0.8193847388029099,0.7161480784416199,-1.5586818382143974,-7.168639183044434,1.5586818382143974,7.168639183044434,0.7366903200745583,0.5377129316329956,8,0,,FLAG,hard:latin_word_n
US-00334,gpt-oss:120b,0,1,8,7,0.9736611062335382,,0.9659498207885304,0,0,0,0,,0,1,Eskitalopram,0,6,0,0,0,,1.0,0,75.87633526486913,-0.4845793948209776,,,,,,,,,0,0,,FLAG,hard:seg_mismatch;hard:latin_word_n
US-00335,gpt-oss:120b,0,0,9,9,0.9612034837688044,,0.9871382636655948,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,80.31848353874881,-0.7331177496733365,0.8040473461151123,0.7517927289009094,-1.554001122713089,-3.4525609016418457,1.554001122713089,3.4525609016418457,0.8003353012932671,0.6998127698898315,9,0,,PASS,
US-00336,gpt-oss:120b,1,0,7,7,0.9670239076669416,,0.9878472222222222,0,2,0,0,पा,0,0,,0,7,0,0,0,,1.0,0,75.51013381858738,-0.6169961876111124,0.7490527033805847,0.5120695233345032,-2.014294941510473,-5.486697196960449,2.014294941510473,5.486697196960449,0.742286456482751,0.4586120545864105,7,0,,FLAG,hard:devanagari_n
US-00337,gpt-oss:120b,0,0,7,7,1.0421216848673946,,0.9907834101382488,0,0,0,0,,0,0,,0,14,0,0,0,,1.0,0,78.58442555485684,0.8812574359279953,0.8458841017314366,0.7107959985733032,-1.3836190700531006,-3.2378368377685547,1.3836190700531006,3.2378368377685547,0.6953616397721427,0.3769677877426147,7,0,,PASS,
