item_id,translator,precomposed_n,seg_mismatch,n_seg_src,n_seg_hyp,len_ratio,consensus_chrf,bengali_frac,assamese_n,devanagari_n,double_virama_n,other_script_n,other_script_chars,bn_option_labels_n,latin_word_n,latin_words,gloss_n,num_src,num_missing,num_hard_n,num_soft_n,num_missing_list,num_recall,dup_option_n,roundtrip_chrf,len_z,cometkiwi_mean,cometkiwi_min,metricx_mean,metricx_min,metricx_err_mean,metricx_err_max,labse_mean,labse_min,n_seg_scored,option_swap_n,option_swaps,decision,decision_reason
US-00117,gpt-oss:120b,0,0,6,6,0.9699863574351978,,0.9798850574712644,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,59.51434848045525,0.586163254867519,0.8392521242300669,0.7586560249328613,-3.4730085531870523,-7.8185224533081055,3.4730085531870523,7.8185224533081055,0.6833942830562592,0.4891620874404907,6,0,,PASS,
US-00118,gpt-oss:120b,2,0,8,8,0.9432203389830508,,0.9621212121212122,0,0,0,0,,0,0,,0,18,0,0,0,,1.0,0,71.99505377240357,0.033301042372451,0.8326308950781822,0.7032268643379211,-1.888032861053944,-4.896862506866455,1.888032861053944,4.896862506866455,0.7947570458054543,0.5966547727584839,8,0,,PASS,
US-00119,gpt-oss:120b,0,0,8,8,0.8889943074003795,,0.9714285714285714,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,72.49592893761971,-1.0867581046098045,0.817730538547039,0.6680550575256348,-2.396939732134342,-6.112683296203613,2.396939732134342,6.112683296203613,0.8336098343133926,0.7465239763259888,8,0,,PASS,
US-00120,gpt-oss:120b,0,0,7,7,0.973727422003284,,0.979591836734694,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,76.51353040128777,0.6634363553810249,0.7454426373754229,0.6024792790412903,-2.2158297651580403,-6.100672721862793,2.2158297651580403,6.100672721862793,0.7927909237997872,0.6712505221366882,7,0,,PASS,
US-00121,gpt-oss:120b,0,0,7,7,0.9064885496183206,,0.9871244635193132,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,73.22681183827254,-0.7254079293557892,0.8053457822118487,0.6226057410240173,-1.53213717682021,-3.6271047592163086,1.53213717682021,3.6271047592163086,0.7354308792522976,0.6248663067817688,7,0,,PASS,
US-00122,gpt-oss:120b,0,0,7,7,0.9269602577873256,,0.9563106796116504,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,70.23513582205571,-0.3025570712012941,0.8135868310928345,0.7650730013847351,-2.272864094802312,-6.296363353729248,2.272864094802312,6.296363353729248,0.7981997728347778,0.6345908641815186,7,0,,PASS,
US-00123,gpt-oss:120b,0,0,9,9,0.8873602751504729,,0.984,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,67.47972778817709,-1.1205096574074982,0.8170185817612542,0.6836880445480347,-1.4820511374208662,-5.175600528717041,1.4820511374208662,5.175600528717041,0.8120648993386163,0.7460492253303528,9,0,,PASS,
US-00124,gpt-oss:120b,0,0,7,7,0.9713292788879236,,0.978494623655914,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,72.25459394400761,0.6139018042856336,0.8379657098225185,0.7456769347190857,-1.592270891581263,-4.716275215148926,1.592270891581263,4.716275215148926,0.7866718343326023,0.7083066701889038,7,0,,PASS,
US-00125,gpt-oss:120b,0,0,7,7,0.9188134270101485,,0.9581939799331104,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,78.59572892996668,-0.4708329354784402,0.8599650348935809,0.7657773494720459,-1.0962177642754145,-3.0006532669067383,1.0962177642754145,3.0006532669067383,0.8676972048623222,0.8289841413497925,7,0,,PASS,
US-00126,gpt-oss:120b,0,0,7,7,0.9103641456582632,,0.981443298969072,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,68.63197584254596,-0.6453560305195627,0.8598260538918632,0.7723656892776489,-2.007294467517308,-4.813353538513184,2.007294467517308,4.813353538513184,0.7566396508898053,0.6600760221481323,7,0,,PASS,
